START TIME:2024-03-11 16:03:19
Vd=-0000.300000V
REPEAT,TIME(sec),GATE-VOLT(V),DRAIN-CURRENT(A),GATE-CURRENT(A)
1,4.292270e+00, -1.36000e+00, 2.92659e-04, -7.39098e-05
1,4.312320e+00, -1.35000e+00, 3.09348e-04, -7.82013e-05
1,4.332370e+00, -1.34000e+00, 3.14832e-04, -6.77109e-05
1,4.352430e+00, -1.33000e+00, 3.15070e-04, -6.36578e-05
1,4.372480e+00, -1.32000e+00, 3.02553e-04, -6.60419e-05
1,4.392530e+00, -1.31000e+00, 3.02196e-04, -5.31673e-05
1,4.412580e+00, -1.30000e+00, 3.01361e-04, -6.74725e-05
1,4.432630e+00, -1.29000e+00, 3.03507e-04, -7.35521e-05
1,4.452680e+00, -1.28000e+00, 3.10898e-04, -8.15392e-05
1,4.472740e+00, -1.27000e+00, 3.10183e-04, -7.29561e-05
1,4.492790e+00, -1.26000e+00, 3.11255e-04, -7.24792e-05
1,4.512840e+00, -1.25000e+00, 3.19839e-04, -4.14848e-05
1,4.532890e+00, -1.24000e+00, 3.16381e-04, -5.28097e-05
1,4.552950e+00, -1.23000e+00, 3.14474e-04, -3.29018e-05
1,4.573000e+00, -1.22000e+00, 3.00884e-04, -3.08752e-05
1,4.593050e+00, -1.21000e+00, 2.96831e-04, -3.48091e-05
1,4.613100e+00, -1.20000e+00, 3.14116e-04, -3.86238e-05
1,4.633150e+00, -1.19000e+00, 3.08156e-04, -4.17233e-05
1,4.653210e+00, -1.18000e+00, 3.09229e-04, -5.68628e-05
1,4.673260e+00, -1.17000e+00, 3.25561e-04, -6.49691e-05
1,4.693310e+00, -1.16000e+00, 3.15070e-04, -6.23465e-05
1,4.713360e+00, -1.15000e+00, 3.20911e-04, -6.78301e-05
1,4.733420e+00, -1.14000e+00, 3.19004e-04, -7.34329e-05
1,4.753470e+00, -1.13000e+00, 3.12090e-04, -6.61612e-05
1,4.773520e+00, -1.12000e+00, 3.09587e-04, -5.85318e-05
1,4.793570e+00, -1.11000e+00, 3.09467e-04, -5.73397e-05
1,4.813630e+00, -1.10000e+00, 3.16024e-04, -4.55379e-05
1,4.833680e+00, -1.09000e+00, 3.03507e-04, -5.29289e-05
1,4.853730e+00, -1.08000e+00, 2.99931e-04, -4.93526e-05
1,4.873780e+00, -1.07000e+00, 2.96235e-04, -4.60148e-05
1,4.893830e+00, -1.06000e+00, 2.98023e-04, -4.42266e-05
1,4.913880e+00, -1.05000e+00, 2.87771e-04, -3.73125e-05
1,4.933940e+00, -1.04000e+00, 3.09467e-04, -4.02927e-05
1,4.953990e+00, -1.03000e+00, 3.07798e-04, -3.93391e-05
1,4.974040e+00, -1.02000e+00, 3.09944e-04, -3.52859e-05
1,4.994090e+00, -1.01000e+00, 3.15666e-04, -4.00543e-05
1,5.014150e+00, -1.00000e+00, 3.03864e-04, -4.52995e-05
1,5.034200e+00, -9.90000e-01, 3.16143e-04, -4.17233e-05
1,5.054250e+00, -9.80000e-01, 3.09944e-04, -2.92063e-05
1,5.074300e+00, -9.70000e-01, 3.04103e-04, -3.42131e-05
1,5.094360e+00, -9.60000e-01, 2.83957e-04, -4.13656e-05
1,5.114410e+00, -9.50000e-01, 2.90394e-04, -4.76837e-05
1,5.134460e+00, -9.40000e-01, 2.96950e-04, -3.94583e-05
1,5.154510e+00, -9.30000e-01, 3.04580e-04, -6.03199e-05
1,5.174560e+00, -9.20000e-01, 2.97785e-04, -6.13928e-05
1,5.194610e+00, -9.10000e-01, 2.88725e-04, -4.95911e-05
1,5.214670e+00, -9.00000e-01, 2.97666e-04, -4.42266e-05
1,5.234720e+00, -8.90000e-01, 2.98381e-04, -5.61476e-05
1,5.254770e+00, -8.80000e-01, 2.97666e-04, -6.68764e-05
1,5.274820e+00, -8.70000e-01, 3.07679e-04, -6.02007e-05
1,5.294870e+00, -8.60000e-01, 3.03030e-04, -6.24657e-05
1,5.314930e+00, -8.50000e-01, 2.96593e-04, -6.07967e-05
