START TIME:2024-03-11 15:19:12
Vd=-0000.300000V
REPEAT,TIME(sec),GATE-VOLT(V),DRAIN-CURRENT(A),GATE-CURRENT(A)
1,3.229510e+00, -1.11000e+00, -7.71391e-03, -6.98566e-05
1,3.249560e+00, -1.12000e+00, -7.69913e-03, -6.79493e-05
1,3.269610e+00, -1.13000e+00, -7.65574e-03, -8.59499e-05
1,3.289660e+00, -1.14000e+00, -7.63011e-03, -7.05719e-05
1,3.309720e+00, -1.15000e+00, -7.59709e-03, -7.55787e-05
1,3.329770e+00, -1.16000e+00, -7.55167e-03, -8.61883e-05
1,3.349820e+00, -1.17000e+00, -7.51114e-03, -7.09295e-05
1,3.369870e+00, -1.18000e+00, -7.44975e-03, -8.11815e-05
1,3.389930e+00, -1.19000e+00, -7.40933e-03, -8.51154e-05
1,3.409980e+00, -1.20000e+00, -7.35497e-03, -8.27312e-05
1,3.430030e+00, -1.21000e+00, -7.32958e-03, -7.10487e-05
1,3.450080e+00, -1.22000e+00, -7.27296e-03, -6.80685e-05
1,3.470130e+00, -1.23000e+00, -7.20775e-03, -7.87973e-05
1,3.490190e+00, -1.24000e+00, -7.15256e-03, -7.92742e-05
1,3.510240e+00, -1.25000e+00, -7.08437e-03, -8.49962e-05
1,3.530290e+00, -1.26000e+00, -7.03585e-03, -8.04663e-05
1,3.550340e+00, -1.27000e+00, -6.96135e-03, -7.28369e-05
1,3.570400e+00, -1.28000e+00, -6.89697e-03, -6.80685e-05
1,3.590450e+00, -1.29000e+00, -6.82199e-03, -7.82013e-05
1,3.610500e+00, -1.30000e+00, -6.73306e-03, -6.77109e-05
1,3.630550e+00, -1.31000e+00, -6.67179e-03, -7.64132e-05
1,3.650600e+00, -1.32000e+00, -6.62768e-03, -7.35521e-05
1,3.670660e+00, -1.33000e+00, -6.53410e-03, -7.73668e-05
1,3.690710e+00, -1.34000e+00, -6.46687e-03, -7.17640e-05
1,3.710760e+00, -1.35000e+00, -6.39212e-03, -6.40154e-05
1,3.730810e+00, -1.36000e+00, -6.31392e-03, -6.19888e-05
1,3.750860e+00, -1.37000e+00, -6.22928e-03, -5.90086e-05
1,3.770920e+00, -1.38000e+00, -6.14226e-03, -5.31673e-05
1,3.790970e+00, -1.39000e+00, -6.08039e-03, -3.20673e-05
1,3.811020e+00, -1.40000e+00, -5.99504e-03, -4.39882e-05
