START TIME:2024-04-01 19:12:42
Vd=-0000.500000V
REPEAT,TIME(sec),GATE-VOLT(V),DRAIN-CURRENT(A),GATE-CURRENT(A)
2,1.077889e+01, -4.50000e-01, 1.87039e-04, -4.48227e-05
2,1.082894e+01, -4.00000e-01, 1.74165e-04, -5.71012e-05
2,1.087899e+01, -3.50000e-01, 1.80840e-04, -5.24521e-05
2,1.092904e+01, -3.00000e-01, 1.72257e-04, -3.23057e-05
2,1.097910e+01, -2.50000e-01, 1.75238e-04, -1.81198e-05
2,1.102966e+01, -2.00000e-01, 1.85966e-04, -2.69413e-05
2,1.107971e+01, -1.50000e-01, 2.06470e-04, -2.69413e-05
2,1.112976e+01, -1.00000e-01, 1.73092e-04, -4.07696e-05
2,1.117982e+01, -5.00000e-02, 1.82033e-04, -2.38419e-05
2,1.122998e+01, 0.00000e+00, 1.78456e-04, -2.14577e-06
2,1.128003e+01, 5.00000e-02, 1.86563e-04, -3.36170e-05
2,1.133008e+01, 1.00000e-01, 1.76072e-04, -4.04119e-05
2,1.138013e+01, 1.50000e-01, 1.88112e-04, -1.65701e-05
2,1.143019e+01, 2.00000e-01, 1.94430e-04, -5.96046e-06
2,1.148075e+01, 2.50000e-01, 1.79291e-04, -1.37091e-05
2,1.153080e+01, 3.00000e-01, 1.98603e-04, -3.46899e-05
2,1.158085e+01, 3.50000e-01, 1.94907e-04, -4.62532e-05
2,1.163091e+01, 4.00000e-01, 1.81794e-04, -4.31538e-05
2,1.168096e+01, 4.50000e-01, 1.88708e-04, -4.61340e-05
2,1.173101e+01, 5.00000e-01, 1.89185e-04, -4.52995e-05
2,1.178106e+01, 5.50000e-01, 1.66535e-04, -2.63453e-05
2,1.183112e+01, 6.00000e-01, 1.87635e-04, -3.00407e-05
2,1.188117e+01, 6.50000e-01, 1.78814e-04, -2.00272e-05
2,1.193122e+01, 7.00000e-01, 1.74999e-04, -2.27690e-05
2,1.198128e+01, 7.50000e-01, 1.76072e-04, -8.82149e-06
2,1.203133e+01, 8.00000e-01, 1.76191e-04, -1.59740e-05
2,1.208138e+01, 8.50000e-01, 1.91331e-04, 1.13249e-05
2,1.213143e+01, 9.00000e-01, 1.82271e-04, 8.34465e-07
2,1.218149e+01, 9.50000e-01, 1.63674e-04, -2.34842e-05
2,1.223154e+01, 1.00000e+00, 1.54853e-04, -1.82390e-05
2,1.228159e+01, 1.05000e+00, 1.73211e-04, -5.36442e-06
2,1.233164e+01, 1.10000e+00, 1.91212e-04, -1.81198e-05
2,1.238169e+01, 1.15000e+00, 1.96099e-04, -2.86102e-05
2,1.243175e+01, 1.20000e+00, 1.91331e-04, -2.37226e-05
2,1.248180e+01, 1.25000e+00, 1.91569e-04, -3.33786e-05
2,1.253185e+01, 1.30000e+00, 1.98722e-04, -4.16040e-05
2,1.258190e+01, 1.35000e+00, 1.73450e-04, -3.34978e-05
2,1.263196e+01, 1.40000e+00, 1.79052e-04, -2.69413e-05
2,1.268201e+01, 1.45000e+00, 1.86801e-04, -1.25170e-05
2,1.273206e+01, 1.50000e+00, 1.81079e-04, -2.37226e-05
2,1.278211e+01, 1.55000e+00, 1.72257e-04, -1.58548e-05
2,1.283216e+01, 1.60000e+00, 1.77860e-04, -9.05991e-06
2,1.288222e+01, 1.65000e+00, 1.90854e-04, -6.91414e-06
2,1.293227e+01, 1.70000e+00, 1.80244e-04, -1.54972e-06
2,1.298232e+01, 1.75000e+00, 1.88828e-04, -1.89543e-05
2,1.303238e+01, 1.80000e+00, 1.80364e-04, -1.16825e-05
2,1.308243e+01, 1.85000e+00, 1.64628e-04, -1.99080e-05
2,1.313248e+01, 1.90000e+00, 1.73807e-04, -2.74181e-06
2,1.318253e+01, 1.95000e+00, 1.70231e-04, -1.43051e-05
2,1.323259e+01, 2.00000e+00, 1.66059e-04, -1.28746e-05
2,1.328264e+01, 1.95000e+00, 1.67251e-04, -2.53916e-05
2,1.333269e+01, 1.90000e+00, 1.74284e-04, -1.32322e-05
2,1.338274e+01, 1.85000e+00, 1.72257e-04, -9.89437e-06
2,1.343280e+01, 1.80000e+00, 1.92285e-04, -9.65595e-06
2,1.348285e+01, 1.75000e+00, 1.92523e-04, -1.32322e-05
2,1.353290e+01, 1.70000e+00, 1.82390e-04, -3.01600e-05
2,1.358295e+01, 1.65000e+00, 1.93238e-04, -1.72853e-05
2,1.363300e+01, 1.60000e+00, 1.89781e-04, -2.56300e-05
2,1.368306e+01, 1.55000e+00, 1.81794e-04, -3.65973e-05
2,1.373311e+01, 1.50000e+00, 1.79410e-04, -8.82149e-06
2,1.378316e+01, 1.45000e+00, 1.74165e-04, -3.09944e-05
2,1.383322e+01, 1.40000e+00, 1.67966e-04, 7.62939e-06
2,1.388327e+01, 1.35000e+00, 1.66535e-04, -1.65701e-05
2,1.393332e+01, 1.30000e+00, 1.62840e-04, -1.53780e-05
2,1.398337e+01, 1.25000e+00, 1.56403e-04, -2.75373e-05
2,1.403342e+01, 1.20000e+00, 1.68085e-04, -2.64645e-05
2,1.408348e+01, 1.15000e+00, 1.75118e-04, -3.52859e-05
2,1.413353e+01, 1.10000e+00, 1.83105e-04, -1.82390e-05
2,1.418358e+01, 1.05000e+00, 1.93238e-04, -1.52588e-05
2,1.423363e+01, 1.00000e+00, 1.87278e-04, -2.11000e-05
2,1.428369e+01, 9.50000e-01, 1.85490e-04, -1.53780e-05
2,1.433374e+01, 9.00000e-01, 1.67608e-04, -2.09808e-05
2,1.438379e+01, 8.50000e-01, 1.85132e-04, -1.35899e-05
2,1.443384e+01, 8.00000e-01, 1.64270e-04, -3.23057e-05
2,1.448390e+01, 7.50000e-01, 1.70112e-04, -2.70605e-05
2,1.453395e+01, 7.00000e-01, 1.66059e-04, -3.55244e-05
2,1.458400e+01, 6.50000e-01, 1.69039e-04, -2.22921e-05
2,1.463405e+01, 6.00000e-01, 1.73688e-04, -3.40939e-05
2,1.468411e+01, 5.50000e-01, 1.86682e-04, -2.09808e-05
2,1.473416e+01, 5.00000e-01, 1.85728e-04, -3.65973e-05
2,1.478421e+01, 4.50000e-01, 1.82152e-04, -3.11136e-05
2,1.483426e+01, 4.00000e-01, 1.77622e-04, -2.19345e-05
2,1.488432e+01, 3.50000e-01, 1.74046e-04, -1.97887e-05
2,1.493437e+01, 3.00000e-01, 1.91927e-04, -3.96967e-05
2,1.498442e+01, 2.50000e-01, 1.70588e-04, -4.32730e-05
2,1.503498e+01, 2.00000e-01, 1.71304e-04, -2.07424e-05
2,1.508504e+01, 1.50000e-01, 1.69635e-04, -3.87430e-05
2,1.513509e+01, 1.00000e-01, 1.60217e-04, -3.75509e-05
2,1.518514e+01, 5.00000e-02, 1.73211e-04, -4.02927e-05
2,1.523530e+01, -2.22045e-16, 1.65701e-04, -4.80413e-05
2,1.528535e+01, -5.00000e-02, 1.65105e-04, -4.62532e-05
2,1.533541e+01, -1.00000e-01, 1.71542e-04, -3.98159e-05
2,1.538546e+01, -1.50000e-01, 1.72377e-04, -3.92199e-05
2,1.543551e+01, -2.00000e-01, 1.48654e-04, -3.56436e-05
